,,,,,,,,,,,CouncillorId,2670,2583,2646,2584,2668,2454,2649,2585,2270,2743,2674,2017,2272,2274,2675,2372,2740,2588,2477,2666,2664,2734,2592,2593,2678,2679,2448,2725,2383,2488,2455,2680,2681,2594,2682,2750,2595,2597,2683,2598,2292,2684,2685,2657,2569,2652,2688,2296,2689,2496,2497,2690,2601,2691,2692,2602,2580,2693,2605,2606,2744,2745,2502,2650,2694,2503,2608,2695,2735,2579,2612,2129,2613,2698,2512,2738,2699,2614,2726,2516,2660,2519,2700,2615,2616,2661,2617,2618,2521,2701,2648,2619,2702,2751,2621,2409,2622,2623,2752,2143,2704,2147,2705,2525,2627,2527,2436,2654,2630,2707,2748,2631,2417,2632,2535,2536,2323,2669,2747,2422,2710,2328,2665,2727,2634,2635,2711,2713,2714,2541,2542,2715,2728,2638,2544,2547,2760,2758,3014,2796,2762,3016,2756,2772,3017,2790,2770,2775,3604,2757,2788,3005,2767,2789,2777,2794,2765,2778,2764,3015,3003,3001,3023,2786,2798,2785,2792,2763,3002,2799,3013,2782,3021,3011,3024,3022,3012,2771,3018,2773,2784,2781,3009,2797,2779,2776,2795,3006,2754,3025,3010,2755,3000,2766,3020,3007,2761,2787,2759,3008,3026,3027,,,,,,,
,,,,,,,,,,,CouncillorBioId,3867,1131,1288,1135,3833,404,1289,1138,15,4030,3871,21,26,28,3872,307,4025,1104,453,3830,3828,4007,1133,1124,3875,3876,395,3922,319,464,405,3877,3878,1122,3879,4042,1127,1125,3880,1117,91,3881,3882,1337,806,1295,3885,97,3886,472,473,3887,1156,3888,3889,1103,1071,3890,1126,1118,4031,4032,478,1293,3891,479,1147,3892,4008,1065,1113,487,1150,3895,490,4018,3896,1139,3923,494,1346,542,3897,1112,1141,1345,1137,1111,498,3898,1279,1153,3899,4045,1108,345,1145,1109,4046,172,3901,173,3902,502,1119,504,350,1318,1129,3904,4040,1159,354,1120,513,514,214,3865,4036,359,3907,224,3829,3924,1123,1110,3908,3910,3911,519,520,3912,3931,1142,522,526,4049,4053,4107,4090,4058,4102,4050,4067,4101,4086,4070,4075,4108,4051,4079,4110,4056,4077,4069,4089,4059,4074,4071,4104,4093,4096,4116,4083,4087,4082,4076,4061,4103,4094,4098,4081,4114,4099,4118,4117,4097,4063,4106,4073,4084,4065,4109,4092,4066,4072,4091,4111,4052,4120,4100,4048,4095,4060,4115,4113,4054,4085,4057,4105,4121,4122,,,,,,,
,,,,,,,,,,,CouncillorName,Aebi Andreas,Allemann Evi,Amherd Viola,Amstutz Adrian,Aubert Josiane,Baader Caspar,Barthassat Luc,Bäumle Martin,Binder Max,Birrer-Heimo Prisca,Bischof Pirmin,Blocher Christoph,Borer Roland F.,Bortoluzzi Toni,Bourgeois Jacques,Brunner Toni,Büchel Roland Rino,Büchler Jakob,Bugnon André,Carobbio Guscetti Marina,Cassis Ignazio,Chopard-Acklin Max,Darbellay Christophe,de Buman Dominique,Eichenberger-Walther Corina,Estermann Yvette,Fässler-Osterwalder Hildegard,Favre Laurent,Fehr Hans,Fehr Hans-Jürg,Fehr Jacqueline,Fiala Doris,Flückiger-Bäni Sylvia,Fluri Kurt,Français Olivier,Frehner Sebastian,Freysinger Oskar,Galladé Chantal,Geissbühler Andrea Martina,Germanier Jean-René,Giezendanner Ulrich,Gilli Yvonne,Girod Bastien,Glanzmann-Hunkeler Ida,Graf Maya,Graf-Litscher Edith,Grin Jean-Pierre,Gross Andreas,Grunder Hans,Haller Vannini Ursula,Hassler Hansjörg,Heer Alfred,Heim Bea,Hiltpold Hugues,Hodgers Antonio,Huber Gabi,Humbel Ruth,Hurter Thomas,Hutter Markus,Ineichen Otto,Ingold Maja,Jans Beat,Joder Rudolf,John-Calame Francine,Jositsch Daniel,Kaufmann Hans,Kiener Nellen Margret,Killer Hans,Landolt Martin,Leuenberger Ueli,Leutenegger Filippo,Leutenegger Oberholzer Susanne,Levrat Christian,Lüscher Christian,Lustenberger Ruedi,Maire Jacques-André,Malama Peter,Markwalder Christa,Marra Ada,Meier-Schatz Lucrezia,Moret Isabelle,Mörgeli Christoph,Moser Tiana Angelina,Müller Geri,Müller Philipp,Müller Thomas,Müller Walter,Müri Felix,Neirynck Jacques,Nidegger Yves,Nordmann Roger,Noser Ruedi,Nussbaumer Eric,Pardini Corrado,Parmelin Guy,Pelli Fulvio,Perrin Yvan,Pfister Gerhard,Quadri Lorenzo,Rechsteiner Paul,Reimann Lukas,Reimann Maximilian,Rickli Natalie Simone,Riklin Kathy,Rime Jean-François,Rossini Stéphane,Bernasconi Maria,Schelbert Louis,Schenker Silvia,Schmid-Federer Barbara,Schneider-Schneiter Elisabeth,Schwander Pirmin,Semadeni Silva,Sommaruga Carlo,Spuhler Peter,Stahl Jürg,Stamm Luzi,Steiert Jean-François,Streiff-Feller Marianne,Teuscher Franziska,Thorens Goumaz Adèle,Tschäppät Alexander,Tschümperlin Andy,van Singer Christian,Veillon Pierre-François,Vischer Daniel,von Graffenried Alec,von Siebenthal Erich,Voruz Eric,Walter Hansjörg,Wandfluh Hansruedi,Wasserfallen Christian,Weibel Thomas,Wobmann Walter,Wyss Ursula,Zuppiger Bruno,Aebischer Matthias,Aeschi Thomas,Amarelle Cesla,Amaudruz Céline,Badran Jacqueline,Bertschy Kathrin,Böhni Thomas,Brand Heinz,Bulliard-Marbach Christine,Buttet Yannick,Candinas Martin,Caroni Andrea,Chevalley Isabelle,de Courten Thomas,Derder Fathi,Egloff Hans,Fässler Daniel,Feller Olivier,Feri Yvonne,Fischer Roland,Flach Beat,Fridez Pierre-Alain,Gasche Urs,Gasser Josias F.,Glättli Balthasar,Gmür Alois,Gössi Petra,Grossen Jürg,Gschwind Jean-Paul,Guhl Bernhard,Hadorn Philipp,Hardegger Thomas,Hausammann Markus,Hess Lorenz,Keller Peter,Kessler Margrit,Knecht Hansjörg,Lehmann Markus,Lohr Christian,Maier Thomas,Müller Leo,Müller-Altermatt Stefan,Naef Martin,Pantani Roberta,Pezzatti Bruno,Pieren Nadja,Piller Carrard Valérie,Poggia Mauro,Quadranti Rosmarie,Regazzi Fabio,Reynard Mathias,Ribaux Alain,Ritter Markus,Romano Marco,Rösti Albert,Rusconi Pierre,Rytz Regula,Schneeberger Daniela,Schwaab Jean Christophe,Tornare Manuel,Vitali Albert,Vogler Karl,Wermuth Cédric,Ziörjen Lothar,Gysi Barbara,Schläfli Urs,,,,,,,
,,,,,,,,,,,Rat,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,
,,,,,,,,,,,Fraktion,V,S,CE,V,S,V,CE,CE,V,S,CE,V,V,V,RL,V,V,CE,V,S,RL,S,CE,CE,RL,V,S,RL,V,S,S,RL,V,RL,RL,V,V,S,V,RL,V,G,G,CE,G,S,V,S,BD,BD,BD,V,S,RL,G,RL,CE,V,RL,RL,CE,S,V,G,S,V,S,V,BD,G,RL,S,S,RL,CE,S,RL,RL,S,CE,RL,V,CE,G,RL,V,RL,V,CE,V,S,RL,S,S,V,RL,V,CE,V,S,V,V,V,CE,V,S,S,G,S,CE,CE,V,S,S,V,V,V,S,CE,G,G,S,S,G,V,G,G,V,S,V,V,RL,CE,V,S,V,S,V,S,V,S,GL,-,V,CE,CE,CE,RL,GL,V,RL,V,CE,RL,S,GL,GL,S,BD,GL,G,CE,RL,GL,CE,BD,S,S,V,BD,V,GL,V,CE,CE,GL,CE,CE,S,V,RL,V,S,-,BD,CE,S,RL,CE,CE,V,V,G,RL,S,S,RL,CE,S,BD,S,CE,,,,,,,
,,,,,,,,,,,Kanton,BE,BE,VS,BE,VD,BL,GE,ZH,ZH,LU,SO,ZH,SO,ZH,FR,SG,SG,SG,VD,TI,TI,AG,VS,FR,AG,LU,SG,NE,ZH,SH,ZH,ZH,AG,SO,VD,BS,VS,ZH,BE,VS,AG,SG,ZH,LU,BL,TG,VD,ZH,BE,BE,GR,ZH,SO,GE,GE,UR,AG,SH,ZH,LU,ZH,BS,BE,NE,ZH,ZH,BE,AG,GL,GE,ZH,BL,FR,GE,LU,NE,BS,BE,VD,SG,VD,ZH,ZH,AG,AG,SG,SG,LU,VD,GE,VD,ZH,BL,BE,VD,TI,NE,ZG,TI,SG,SG,AG,ZH,ZH,FR,VS,GE,LU,BS,ZH,BL,SZ,GR,GE,TG,ZH,AG,FR,BE,BE,VD,BE,SZ,VD,VD,ZH,BE,BE,VD,TG,BE,BE,ZH,SO,BE,ZH,BE,ZG,VD,GE,ZH,BE,TG,GR,FR,VS,GR,AR,VD,BL,VD,ZH,AI,VD,AG,LU,AG,JU,BE,GR,ZH,SZ,SZ,BE,JU,AG,SO,ZH,TG,BE,NW,SG,AG,BS,TG,ZH,LU,SO,ZH,TI,ZG,BE,FR,GE,ZH,TI,VS,NE,SG,TI,BE,TI,BE,BL,VD,GE,LU,OW,AG,ZH,SG,SO,,,,,,,
,,,,,,,,,,,Geburtsdatum,1958-11-26,1978-07-16,1962-06-07,1953-12-02,1949-04-07,1953-10-01,1960-09-03,1964-06-03,1947-11-26,1959-02-04,1959-02-24,1940-10-11,1951-01-27,1947-02-16,1958-03-14,1974-08-23,1965-10-08,1952-05-29,1947-09-13,1966-06-12,1961-04-13,1966-08-30,1971-03-07,1956-04-28,1954-10-14,1967-02-26,1951-06-22,1972-10-14,1947-01-14,1948-08-07,1963-06-01,1957-01-29,1952-06-01,1955-08-19,1955-10-01,1973-09-02,1960-06-12,1972-12-17,1976-08-03,1958-12-18,1953-10-31,1957-03-07,1980-12-21,1958-09-29,1962-02-28,1964-03-25,1947-03-16,1952-08-21,1956-06-13,1948-11-04,1953-09-23,1961-10-12,1946-04-07,1969-05-05,1976-02-07,1956-02-29,1957-07-23,1963-11-01,1957-02-20,1941-06-08,1948-05-23,1964-07-12,1950-06-10,1954-04-30,1965-03-25,1948-06-13,1953-04-17,1948-03-09,1968-06-30,1952-03-26,1952-11-25,1948-03-06,1970-07-07,1963-12-06,1950-04-02,1957-05-27,1960-10-18,1975-07-27,1973-03-10,1952-01-04,1970-12-30,1960-07-16,1979-04-06,1960-10-27,1952-09-05,1952-12-01,1948-04-25,1958-01-22,1931-08-17,1957-05-17,1973-03-23,1961-04-14,1960-07-11,1965-06-19,1959-11-09,1951-01-26,1966-12-09,1962-10-01,1974-11-05,1952-08-26,1982-09-18,1942-05-07,1976-11-19,1952-10-21,1950-06-28,1963-08-09,1955-09-14,1952-10-31,1954-01-17,1965-11-10,1964-02-19,1961-12-28,1952-02-08,1959-07-08,1959-01-09,1968-01-16,1952-09-09,1961-02-07,1957-08-17,1958-03-07,1971-12-15,1952-04-16,1962-03-11,1950-01-20,1950-04-30,1950-01-16,1962-08-16,1958-12-30,1945-07-05,1951-02-05,1952-01-16,1981-06-30,1954-07-14,1957-11-21,1973-02-08,1952-02-24,1967-10-18,1979-01-13,1973-09-14,1979-03-15,1961-11-12,1979-07-02,1964-12-24,1955-09-06,1959-10-13,1977-07-12,1980-08-20,1980-04-19,1972-04-13,1966-07-29,1970-12-04,1959-11-27,1960-08-22,1974-08-30,1966-03-21,1965-04-05,1965-01-21,1957-11-20,1955-03-15,1952-11-17,1972-02-12,1955-04-03,1976-01-12,1969-08-24,1952-10-31,1972-06-10,1967-02-06,1956-04-02,1964-09-20,1961-06-28,1971-04-22,1948-12-25,1960-03-24,1955-05-27,1962-04-05,1975-08-01,1958-07-04,1976-06-17,1970-11-10,1965-09-19,1951-03-04,1980-02-14,1978-09-09,1959-04-25,1957-07-18,1962-06-22,1987-09-07,1962-02-24,1967-04-19,1982-11-06,1967-08-07,1949-12-03,1962-03-02,1967-09-19,1979-08-23,1951-04-20,1955-06-26,1956-03-24,1986-02-19,1955-02-24,1964-05-14,1963-07-20,,,,,,,
,,,,,,,,,,,Vereidigungsdatum,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-05,2011-12-12,2011-12-12,,,,,,,
VoteDate,Rat,Kommission,Dept.,AffairId,AffairTitle,VoteRegistrationNumber,VoteMeaningYes,VoteMeaningNo,DivisionText,VoteSubmissionText,,3867,1131,1288,1135,3833,404,1289,1138,15,4030,3871,21,26,28,3872,307,4025,1104,453,3830,3828,4007,1133,1124,3875,3876,395,3922,319,464,405,3877,3878,1122,3879,4042,1127,1125,3880,1117,91,3881,3882,1337,806,1295,3885,97,3886,472,473,3887,1156,3888,3889,1103,1071,3890,1126,1118,4031,4032,478,1293,3891,479,1147,3892,4008,1065,1113,487,1150,3895,490,4018,3896,1139,3923,494,1346,542,3897,1112,1141,1345,1137,1111,498,3898,1279,1153,3899,4045,1108,345,1145,1109,4046,172,3901,173,3902,502,1119,504,350,1318,1129,3904,4040,1159,354,1120,513,514,214,3865,4036,359,3907,224,3829,3924,1123,1110,3908,3910,3911,519,520,3912,3931,1142,522,526,4049,4053,4107,4090,4058,4102,4050,4067,4101,4086,4070,4075,4108,4051,4079,4110,4056,4077,4069,4089,4059,4074,4071,4104,4093,4096,4116,4083,4087,4082,4076,4061,4103,4094,4098,4081,4114,4099,4118,4117,4097,4063,4106,4073,4084,4065,4109,4092,4066,4072,4091,4111,4052,4120,4100,4048,4095,4060,4115,4113,4054,4085,4057,4105,4121,4122,Decision,Ja,Nein,Enth.,Entschuldigung gem. Art. 57 Abs. 4,Hat nicht teilgenommen,Präsident
2011-12-05 18:40:45,NR,"RK-NR, RK-SR",VBS,07.057,Bundesgesetz über Massnahmen zur Wahrung der inneren Sicherheit. Änderung,6514,Antrag der Mehrheit,Antrag der Minderheit Schwander,Art. 18,Bundesgesetz über Massnahmen zur Wahrung der inneren Sicherheit (BWIS),,Nein,Ja,Ja,Nein,Ja,Hat nicht teilgenommen,Ja,Hat nicht teilgenommen,Nein,Ja,Ja,Nein,Nein,Nein,Ja,Hat nicht teilgenommen,Nein,Ja,Nein,Hat nicht teilgenommen,Ja,Ja,Hat nicht teilgenommen,Ja,Ja,Nein,Ja,Ja,Hat nicht teilgenommen,Ja,Hat nicht teilgenommen,Ja,Nein,Ja,Ja,Nein,Hat nicht teilgenommen,Ja,Nein,Hat nicht teilgenommen,Hat nicht teilgenommen,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Hat nicht teilgenommen,Ja,Hat nicht teilgenommen,Nein,Ja,Ja,Hat nicht teilgenommen,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Hat nicht teilgenommen,Ja,Ja,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Hat nicht teilgenommen,Hat nicht teilgenommen,Ja,Hat nicht teilgenommen,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Hat nicht teilgenommen,Ja,Hat nicht teilgenommen,Ja,Nein,Ja,Hat nicht teilgenommen,Ja,Hat nicht teilgenommen,Nein,Hat nicht teilgenommen,Nein,Hat nicht teilgenommen,Nein,Ja,Hat nicht teilgenommen,Hat nicht teilgenommen,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Hat nicht teilgenommen,Nein,Ja,Ja,Hat nicht teilgenommen,Nein,Nein,Hat nicht teilgenommen,Ja,Ja,Ja,Hat nicht teilgenommen,Ja,Ja,Nein,Ja,Ja,Nein,Ja,Der Präsident stimmt nicht,Nein,Ja,Ja,Nein,Hat nicht teilgenommen,Hat nicht teilgenommen,Ja,Nein,Ja,Nein,Ja,Ja,Hat nicht teilgenommen,Nein,Hat nicht teilgenommen,Ja,Ja,Ja,Ja,Hat nicht teilgenommen,Ja,Nein,Hat nicht teilgenommen,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Hat nicht teilgenommen,Nein,Ja,Nein,Ja,Nein,Hat nicht teilgenommen,Hat nicht teilgenommen,Hat nicht teilgenommen,Ja,Ja,Hat nicht teilgenommen,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Hat nicht teilgenommen,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Hat nicht teilgenommen,Hat nicht teilgenommen,,,Yes,114,42,0,0,43,False
2011-12-05 18:57:28,NR,"SiK-NR, SiK-SR",VBS,11.3082,Schaffung der Stelle eines Truppenombudsmanns im VBS,6515,Antrag der Mehrheit (Annahme der abgeänderten Motion),Antrag der Minderheit Eichenberger (Ablehnung der abgeänderten Motion),,,,Nein,Ja,Ja,Nein,Ja,Nein,Ja,Hat nicht teilgenommen,Nein,Ja,Ja,Hat nicht teilgenommen,Nein,Nein,Nein,Nein,Nein,Ja,Hat nicht teilgenommen,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Hat nicht teilgenommen,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Hat nicht teilgenommen,Hat nicht teilgenommen,Ja,Hat nicht teilgenommen,Ja,Ja,Hat nicht teilgenommen,Nein,Ja,Hat nicht teilgenommen,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Hat nicht teilgenommen,Ja,Ja,Nein,Ja,Ja,Nein,Ja,Nein,Nein,Ja,Hat nicht teilgenommen,Hat nicht teilgenommen,Ja,Nein,Ja,Ja,Hat nicht teilgenommen,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Hat nicht teilgenommen,Nein,Nein,Ja,Nein,Ja,Hat nicht teilgenommen,Ja,Hat nicht teilgenommen,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Hat nicht teilgenommen,Nein,Ja,Hat nicht teilgenommen,Ja,Ja,Ja,Ja,Ja,Hat nicht teilgenommen,Nein,Ja,Hat nicht teilgenommen,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Hat nicht teilgenommen,Ja,Ja,Nein,Enthaltung,Ja,Nein,Ja,Der Präsident stimmt nicht,Nein,Nein,Ja,Nein,Hat nicht teilgenommen,Hat nicht teilgenommen,Ja,Nein,Ja,Nein,Ja,Ja,Hat nicht teilgenommen,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Hat nicht teilgenommen,Nein,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Ja,Nein,Ja,Hat nicht teilgenommen,Hat nicht teilgenommen,Nein,Nein,Ja,Nein,Hat nicht teilgenommen,Hat nicht teilgenommen,Hat nicht teilgenommen,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Nein,Ja,Ja,Hat nicht teilgenommen,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Hat nicht teilgenommen,Ja,Ja,Hat nicht teilgenommen,,,Yes,88,77,1,0,33,False
